x_mm,z_mm,temperature_c
-12.3831,   924.396E-03,120
-9.26734,3.93533,120
-4.21532,-1.25723,120
-10.8966,   104.536E-03,120
  -712.809E-03,-1.91849,120
-1.58525,1.21278,120
-1.99129,2.86978,120
-2.97324,  -276.437E-03,120
-10.0863,-1.28199,120
-3.33156,2.36706,120
-11.3112,-1.78376,120
-11.0312,-2.76142,120
-3.23475,   996.691E-03,120
-45.6644,-12.3404,26.0929
44.9502,-12.3751,26.0134
-45.2976,12.4599,26.096
45.505,12.167,26.0124
-44.8795,44.8294,26.0029
-39.8576,44.7525,26.0049
-34.9012,44.8774,26.0084
-29.543,44.3744,26.0156
-24.2992,42.5788,26.0339
-12.1362,45.3709,26.0442
-7.14528,44.2427,26.0579
-2.42772,45.3569,26.0485
2.21127,44.9953,26.0461
7.7449,43.7722,26.0428
13.1262,45.1725,26.0243
17.9204,45.3536,26.0158
22.7407,45.2582,26.0099
29.7851,45.4234,26.0043
34.5326,45.3237,26.0024
39.5484,44.8783,26.0013
44.792,44.8365,26.0007
-45.0818,39.7607,26.0053
-39.7628,38.7225,26.0111
-34.7731,39.8478,26.0179
-30.6995,37.4919,26.0431
-18.4927,38.2662,26.1185
-14.2479,40.4522,26.1002
-6.25838,40.0945,26.1326
-2.47211,40.546,26.1177
1.95524,37.5759,26.1943
8.45784,39.6453,26.09
13.4815,39.207,26.0665
18.1958,38.7901,26.0448
22.6645,40.0996,26.0215
29.9341,40.544,26.0078
34.3749,38.7605,26.0056
38.5521,39.4369,26.0027
44.7423,39.8156,26.0011
-45.594,35.0281,26.0096
-39.9989,34.7796,26.0195
-28.6512,32.4565,26.1311
-24.22,35.3737,26.1256
-19.0042,33.7412,26.2816
-12.4871,34.6853,26.3483
-9.3334,33.9305,26.4589
-2.17074,34.4098,26.4256
2.89738,34.31,26.3648
6.54425,34.9194,26.2615
13.7923,35.0418,26.1395
18.155,34.2412,26.0992
23.4364,33.8879,26.0541
29.3343,35.9599,26.0176
34.1663,33.8578,26.0113
39.931,34.6617,26.0041
44.877,34.8906,26.002
-45.3863,30.5068,26.0173
-35.1876,28.6371,26.0963
-27.8962,27.8648,26.3132
-23.7457,27.9119,26.5283
-18.7514,28.3832,26.8048
-11.8042,29.034,27.1838
-6.92058,28.4308,27.576
-4.09132,29.8084,27.177
2.88461,28.2555,27.2825
7.80624,28.6177,26.8453
12.7138,28.468,26.515
18.1917,27.182,26.3277
24.3906,28.7339,26.1038
29.7368,29.5068,26.041
32.9217,29.4943,26.0244
37.678,30.5384,26.0097
44.3799,29.6971,26.0037
-43.5944,24.0929,26.046
-40.1314,23.2536,26.0874
-34.7646,23.4315,26.2098
-27.7953,23.7753,26.607
-23.6107,23.1735,27.2193
-18.8106,22.4347,28.519
-13.9286,24.1694,28.8465
-7.62861,23.3111,30.8149
-2.54476,24.9856,29.2428
2.797,24.0813,29.1125
8.90456,24.7531,27.5749
14.2162,24.4176,26.8865
18.6922,23.3317,26.5578
23.1424,24.0946,26.2496
29.7266,24.918,26.0741
34.8635,24.1174,26.0328
39.8692,23.8555,26.0138
42.5696,25.1016,26.0077
-45.2063,16.884,26.0717
-40.1125,17.814,26.1546
-34.6048,17.9335,26.4221
-29.0163,18.1908,27.0897
-24.7461,18.2441,28.1934
-19.0831,17.4379,31.9585
-14.0519,18.8124,34.4047
-6.82862,18.3141,41.0768
-1.57673,21.0227,33.4712
2.76011,20.3714,32.6519
7.83468,19.6257,30.764
13.139,19.1575,28.4875
18.8548,16.9678,27.3163
23.866,20.3748,26.358
28.1832,17.9679,26.2137
33.8879,18.9989,26.0659
40.0725,19.2451,26.0199
44.2892,17.819,26.0106
-44.0196,7.50383,26.1494
-39.8632,8.23668,26.329
-34.6606,8.1029,26.9738
-29.4904,8.73956,28.6893
-23.2196,7.80945,36.5291
-17.0648,6.89638,71.3724
6.98873,6.80753,73.2143
13.8565,7.5741,35.349
17.7379,9.2488,29.6395
22.2254,8.34897,27.5689
29.4272,7.97928,26.3583
34.0004,7.11156,26.1431
40.0708,6.88385,26.0413
44.2635,7.28443,26.0181
39.3289,14.9541,26.0313
34.2325,13.0835,26.0993
28.3133,13.5604,26.311
23.3355,13.7534,26.8024
18.7805,11.7879,28.3655
14.1699,14.9343,29.9093
9.17484,14.8808,34.9325
2.38339,13.6427,52.3257
-14.6271,13.6579,48.1428
-19.6527,12.873,37.324
-23.9673,13.539,30.835
-27.9502,11.352,28.9117
-35.1973,14.1033,26.5476
-37.8814,13.3821,26.3472
-45.1505,2.27134,26.1444
-38.5767,1.675,26.5214
-34.3454,2.59011,27.2701
-28.9037,2.69529,30.1167
-24.3382,3.21899,36.9972
-19.004,2.21433,66.9449
-45.3679,-2.39533,26.1394
-39.1749,-2.8884,26.4516
-36.0451,-3.76611,26.8687
-30.0116,-2.16243,29.2829
-24.4512,-3.24776,36.7458
-19.071,-2.95489,65.5957
-44.2619,-7.54949,26.1438
-39.9612,-7.77199,26.3273
-34.435,-6.84044,27.0705
-30.308,-8.37881,28.3257
-23.5227,-8.16268,35.6134
-18.5957,-8.70753,51.012
-37.6313,-15.0103,26.3216
-33.3093,-12.8884,26.8931
-28.1566,-12.6448,28.523
-23.008,-13.3523,31.933
-18.6982,-13.9041,37.2335
-13.6332,-14.6533,46.2592
2.66699,-13.0562,55.6369
7.89999,-13.5947,39.5823
12.8173,-13.9685,31.635
18.5008,-13.211,28.1022
22.9902,-12.8598,26.9414
28.3306,-12.8687,26.3303
33.8756,-13.4821,26.104
38.6973,-12.8574,26.0415
-42.8013,-24.7472,26.0476
-39.9414,-21.9502,26.1055
-35.5909,-23.612,26.1793
-29.6961,-23.284,26.4914
-22.8751,-23.6689,27.1964
-18.167,-23.4307,28.2253
-12.8887,-24.9743,28.5951
-8.14861,-24.69,29.4508
-3.55765,-23.059,31.1975
4.18814,-25.4273,28.1317
8.44463,-23.0257,28.3397
13.409,-23.4526,27.1804
17.7624,-23.2346,26.6798
24.1856,-23.3138,26.2316
29.0472,-22.9272,26.1061
35.4359,-23.6532,26.0316
39.8076,-22.1368,26.0167
44.5236,-24.6193,26.0061
43.3538,-19.007,26.0115
39.9793,-18.2072,26.0225
34.6444,-18.8707,26.0583
29.6292,-19.7972,26.1359
24.0502,-19.1225,26.3907
17.8105,-18.854,27.2419
12.9725,-18.3602,28.9066
8.08646,-18.2009,31.9896
3.41577,-18.155,36.0878
-2.51363,-19.2769,37.521
-6.90509,-17.8451,42.5517
-13.332,-19.8976,33.2429
-18.6132,-16.9085,32.7391
-23.8843,-18.1594,28.5673
-29.0569,-17.829,27.1436
-35.2906,-18.0438,26.3708
-40.0462,-19.0956,26.1395
-44.4159,-29.6753,26.0211
-37.6455,-30.7272,26.049
-35.2473,-29.3985,26.0853
-28.7136,-28.8304,26.2334
-23.6955,-28.6106,26.4629
-17.8069,-28.6163,26.8448
-12.42,-29.5707,27.0214
-8.18836,-29.5972,27.1815
-3.85877,-27.5112,27.9319
3.45017,-29.9813,26.888
6.80577,-29.6086,26.7511
13.0574,-28.2678,26.5312
17.8023,-28.5567,26.2837
23.8929,-28.3394,26.1231
28.1411,-29.5083,26.0527
35.4167,-28.8024,26.0175
39.2843,-31.2073,26.0069
44.5711,-28.4943,26.0041
-44.7964,-34.9694,26.0103
-39.6,-34.7911,26.0204
-33.9317,-34.104,26.0488
-28.9184,-35.5584,26.0729
-23.5637,-35.2183,26.1386
-18.3396,-34.368,26.2606
-13.1772,-34.1722,26.376
-8.38957,-34.6142,26.4022
-3.73373,-32.6425,26.628
1.14288,-34.5087,26.3777
7.69714,-34.5757,26.2609
13.2586,-34.832,26.1568
19.1006,-34.0274,26.094
24.3592,-34.9085,26.0409
29.1517,-35.4098,26.0194
34.0172,-33.7208,26.0115
40.091,-35.0097,26.0037
45.4494,-32.8773,26.0023
-44.5797,-39.949,26.0054
-38.8081,-38.8601,26.0124
-35.1042,-39.7237,26.0171
-30.2403,-39.6015,26.0312
-22.096,-39.7554,26.0685
-18.0947,-39.9249,26.0889
-12.5905,-38.826,26.1474
-7.77496,-39.6573,26.1402
-2.20439,-37.5273,26.2213
7.00864,-40.1831,26.0899
15.0258,-39.4003,26.0552
19.3083,-40.1138,26.0318
23.921,-39.8956,26.0195
30.6755,-37.6713,26.0111
34.8641,-39.4712,26.0047
38.9427,-38.7233,26.0028
45.3245,-37.4305,26.0014
-44.8708,-45.0204,26.0029
-37.4024,-45.3094,26.006
-32.8728,-45.372,26.0097
-28.4921,-44.5088,26.0169
-24.6215,-44.515,26.0244
-18.9884,-43.3182,26.0443
-12.3597,-44.9533,26.0462
-7.39168,-43.7885,26.0613
-2.26012,-45.0333,26.0503
2.32639,-45.3991,26.0432
7.30505,-44.2914,26.0408
12.1756,-45.508,26.0252
17.8273,-44.2939,26.0187
25.1343,-42.5833,26.011
29.7711,-44.3534,26.0049
34.9843,-44.7671,26.0024
39.9402,-44.5662,26.0012
45.0113,-44.8646,26.0007
43.7771,-7.39825,26.0195
39.4973,-7.80819,26.0451
33.9165,-7.91217,26.1433
29.1285,-6.43002,26.4101
23.5634,-6.42107,27.338
19.1059,-8.78909,28.8848
12.8519,-7.81089,37.0885
7.25577,-6.89242,68.7765
45.0842,-2.24952,26.0177
37.8361,-2.1278,26.0732
33.3023,-2.83296,26.1874
29.1643,-3.7866,26.4479
24.5789,-1.76024,27.2156
19.3953,-2.52705,29.6959
13.2099,-3.29697,40.3959
45.4297,2.33321,26.0169
35.6627,1.04826,26.1159
28.9175,2.44255,26.4681
24.6657,2.5687,27.1777
18.1002,3.13743,30.8137
14.4221,2.94955,36.9819
-19.9431,   117.349E-03,57.7715
-18.6427,-5.15897,61.2387
-18.0997,4.54516,71.8864
2.44461,47.4322,26.0328
-2.49501,47.624,26.0362
47.4913,-47.4693,26.0005
39.9656,-47.338,26.001
27.4114,-47.3897,26.0048
22.4329,-47.0745,26.0085
-44.925,47.4113,26.0024
-47.4688,27.7686,26.0197
-46.4177,22.533,26.0367
-47.6413,14.8528,26.0623
-47.5335,2.46086,26.1039
-47.6377,-2.49631,26.1033
-47.5759,-9.92401,26.0832
-47.6747,-14.8264,26.0625
-47.3639,-22.284,26.0346
-2.47431,-47.4856,26.0361
2.45021,-47.6332,26.0324
9.83688,-47.5429,26.0231
14.6678,-47.6911,26.0164
-47.4551,-27.3542,26.0204
-23.0103,-46.6493,26.0204
-27.9439,-47.4127,26.0127
-47.3827,-34.9759,26.0082
-35.0484,-47.7042,26.0062
-47.3428,-39.9715,26.0043
-39.9518,-47.6248,26.0037
-47.4725,-47.4945,26.002
34.9806,-47.3749,26.0019
47.6233,-39.957,26.0009
47.7095,-35.0649,26.0015
47.428,-27.937,26.0031
46.6556,-23.0073,26.0052
47.083,-14.9258,26.0089
47.6487,2.45802,26.0127
47.5405,9.82992,26.0106
10.1773,47.2762,26.0229
47.5068,-2.46908,26.0128
47.2538,-9.9374,26.0109
47.6956,14.664,26.0084
15.2405,47.6299,26.0156
47.0715,22.4283,26.0052
47.4351,47.4426,26.0005
47.3975,27.3933,26.0033
47.3963,39.9166,26.0009
39.8093,47.4414,26.001
34.8042,47.6337,26.0019
27.4594,47.7003,26.0047
22.6179,47.6729,26.0079
-9.81436,47.4937,26.0352
-14.7372,47.6616,26.03
-22.1532,47.3551,26.0202
-37.4379,47.4182,26.005
-32.362,47.3716,26.0084
-47.4481,9.9294,26.0836
-14.9196,-47.0765,26.0314
-9.93378,-47.2537,26.0355
-47.5518,39.9259,26.0044
-47.7647,35.0299,26.0081
47.4227,34.9274,26.0015
-47.4272,-44.9839,26.0024
-47.3726,-42.4669,26.0032
