x_mm,z_mm,temperature_c
34.615,-34.615,26.03
37.179,-34.615,26.03
39.744,-34.615,26.03
42.308,-34.615,26.03
44.872,-34.615,26.02
47.436,-34.615,26.02
50,-34.615,26.01
-50,-32.051,26.04
-47.436,-32.051,26.05
-44.872,-32.051,26.07
-42.308,-32.051,26.08
-39.744,-32.051,26.08
-37.179,-32.051,26.09
-34.615,-32.051,26.09
-32.051,-32.051,26.09
-29.487,-32.051,26.09
-26.923,-32.051,26.09
-24.359,-32.051,26.1
-21.795,-32.051,26.1
-19.231,-32.051,26.1
-16.667,-32.051,26.1
-14.103,-32.051,26.1
-11.538,-32.051,26.11
-8.974,-32.051,26.11
-6.41,-32.051,26.11
-3.846,-32.051,26.11
-1.282,-32.051,26.12
1.282,-32.051,26.12
3.846,-32.051,26.11
6.41,-32.051,26.11
8.974,-32.051,26.11
11.538,-32.051,26.11
14.103,-32.051,26.1
16.667,-32.051,26.1
19.231,-32.051,26.1
21.795,-32.051,26.1
24.359,-32.051,26.1
26.923,-32.051,26.09
29.487,-32.051,26.09
32.051,-32.051,26.09
34.615,-32.051,26.09
37.179,-32.051,26.09
39.744,-32.051,26.08
42.308,-32.051,26.08
44.872,-32.051,26.07
47.436,-32.051,26.05
50,-32.051,26.04
-50,-29.487,26.1
-47.436,-29.487,26.14
-44.872,-29.487,26.18
-42.308,-29.487,26.21
-39.744,-29.487,26.22
-37.179,-29.487,26.23
-34.615,-29.487,26.23
-32.051,-29.487,26.24
-29.487,-29.487,26.24
-26.923,-29.487,26.25
-24.359,-29.487,26.26
-21.795,-29.487,26.26
-19.231,-29.487,26.27
-16.667,-29.487,26.27
-14.103,-29.487,26.28
-11.538,-29.487,26.28
-8.974,-29.487,26.29
-6.41,-29.487,26.29
-3.846,-29.487,26.3
-1.282,-29.487,26.31
1.282,-29.487,26.31
3.846,-29.487,26.3
6.41,-29.487,26.29
8.974,-29.487,26.29
11.538,-29.487,26.28
14.103,-29.487,26.28
16.667,-29.487,26.27
19.231,-29.487,26.27
21.795,-29.487,26.26
24.359,-29.487,26.26
26.923,-29.487,26.25
29.487,-29.487,26.24
32.051,-29.487,26.24
34.615,-29.487,26.23
37.179,-29.487,26.23
39.744,-29.487,26.22
42.308,-29.487,26.21
44.872,-29.487,26.18
47.436,-29.487,26.14
50,-29.487,26.1
-50,-26.923,26.25
-47.436,-26.923,26.35
-44.872,-26.923,26.45
-42.308,-26.923,26.52
-39.744,-26.923,26.54
-37.179,-26.923,26.56
-34.615,-26.923,26.57
-32.051,-26.923,26.58
-29.487,-26.923,26.6
-26.923,-26.923,26.61
-24.359,-26.923,26.62
-21.795,-26.923,26.64
-19.231,-26.923,26.65
-16.667,-26.923,26.66
-14.103,-26.923,26.68
-11.538,-26.923,26.69
-8.974,-26.923,26.7
-6.41,-26.923,26.72
-3.846,-26.923,26.73
-1.282,-26.923,26.75
1.282,-26.923,26.75
3.846,-26.923,26.73
6.41,-26.923,26.72
8.974,-26.923,26.7
11.538,-26.923,26.69
14.103,-26.923,26.68
16.667,-26.923,26.66
19.231,-26.923,26.65
21.795,-26.923,26.64
24.359,-26.923,26.62
26.923,-26.923,26.61
29.487,-26.923,26.6
32.051,-26.923,26.58
34.615,-26.923,26.57
37.179,-26.923,26.56
39.744,-26.923,26.54
42.308,-26.923,26.52
44.872,-26.923,26.45
47.436,-26.923,26.35
50,-26.923,26.25
-50,-24.359,26.56
-47.436,-24.359,26.79
-44.872,-24.359,27.01
-42.308,-24.359,27.17
-39.744,-24.359,27.22
-37.179,-24.359,27.25
-34.615,-24.359,27.28
-32.051,-24.359,27.31
-29.487,-24.359,27.34
-26.923,-24.359,27.37
-24.359,-24.359,27.4
-21.795,-24.359,27.44
-19.231,-24.359,27.47
-16.667,-24.359,27.5
-14.103,-24.359,27.53
-11.538,-24.359,27.56
-8.974,-24.359,27.59
-6.41,-24.359,27.62
-3.846,-24.359,27.65
-1.282,-24.359,27.68
1.282,-24.359,27.68
3.846,-24.359,27.65
6.41,-24.359,27.62
8.974,-24.359,27.59
11.538,-24.359,27.56
14.103,-24.359,27.53
16.667,-24.359,27.5
19.231,-24.359,27.47
21.795,-24.359,27.44
24.359,-24.359,27.4
26.923,-24.359,27.37
29.487,-24.359,27.34
32.051,-24.359,27.31
34.615,-24.359,27.28
37.179,-24.359,27.25
39.744,-24.359,27.22
42.308,-24.359,27.17
44.872,-24.359,27.01
47.436,-24.359,26.79
50,-24.359,26.56
-50,-21.795,27.16
-47.436,-21.795,27.64
-44.872,-21.795,28.1
-42.308,-21.795,28.43
-39.744,-21.795,28.54
-37.179,-21.795,28.6
-34.615,-21.795,28.66
-32.051,-21.795,28.73
-29.487,-21.795,28.79
-26.923,-21.795,28.85
-24.359,-21.795,28.92
-21.795,-21.795,28.98
-19.231,-21.795,29.04
-16.667,-21.795,29.11
-14.103,-21.795,29.17
-11.538,-21.795,29.23
-8.974,-21.795,29.3
-6.41,-21.795,29.36
-3.846,-21.795,29.42
-1.282,-21.795,29.48
1.282,-21.795,29.48
3.846,-21.795,29.42
6.41,-21.795,29.36
8.974,-21.795,29.3
11.538,-21.795,29.23
14.103,-21.795,29.17
16.667,-21.795,29.11
19.231,-21.795,29.04
21.795,-21.795,28.98
24.359,-21.795,28.92
26.923,-21.795,28.85
29.487,-21.795,28.79
32.051,-21.795,28.73
34.615,-21.795,28.66
37.179,-21.795,28.6
39.744,-21.795,28.54
42.308,-21.795,28.43
44.872,-21.795,28.1
47.436,-21.795,27.64
50,-21.795,27.16
-50,-19.231,28.22
-47.436,-19.231,29.15
