sample_index,acc_ch1,acc_ch2,acc_ch3
159,-0.209434,-0.269273,-0.239354
160,-0.209434,-0.239354,-0.239354
161,-0.209434,-0.239354,-0.239354
162,-0.209434,-0.239354,-0.239354
163,-0.209434,-0.239354,-0.239354
164,-0.209434,-0.239354,-0.239354
165,-0.239354,-0.299192,-0.269273
166,-0.239354,-0.299192,-0.299192
167,-0.239354,-0.269273,-0.269273
168,-0.239354,-0.269273,-0.269273
169,-0.209434,-0.239354,-0.239354
170,-0.179515,-0.209434,-0.209434
171,-0.179515,-0.209434,-0.209434
172,-0.179515,-0.209434,-0.209434
173,-0.179515,-0.209434,-0.209434
174,-0.179515,-0.209434,-0.209434
175,-0.179515,-0.209434,-0.209434
176,-0.179515,-0.209434,-0.209434
177,-0.179515,-0.239354,-0.239354
178,-0.179515,-0.239354,-0.239354
179,-0.179515,-0.239354,-0.239354
180,-0.179515,-0.239354,-0.239354
181,-0.149596,-0.179515,-0.179515
182,-0.149596,-0.179515,-0.179515
183,-0.149596,-0.209434,-0.209434
184,-0.179515,-0.209434,-0.209434
185,-0.209434,-0.239354,-0.239354
186,-0.209434,-0.269273,-0.269273
187,-0.209434,-0.269273,-0.269273
188,-0.209434,-0.269273,-0.239354
189,-0.209434,-0.269273,-0.239354
190,-0.209434,-0.269273,-0.239354
191,-0.209434,-0.269273,-0.269273
192,-0.209434,-0.239354,-0.239354
193,-0.209434,-0.239354,-0.239354
194,-0.209434,-0.239354,-0.239354
195,-0.209434,-0.239354,-0.239354
196,-0.209434,-0.239354,-0.239354
197,-0.239354,-0.299192,-0.269273
198,-0.239354,-0.299192,-0.299192
199,-0.239354,-0.269273,-0.269273
200,-0.239354,-0.269273,-0.269273
201,-0.209434,-0.239354,-0.239354
202,-0.179515,-0.239354,-0.209434
203,-0.179515,-0.209434,-0.209434
204,-0.179515,-0.209434,-0.209434
205,-0.179515,-0.209434,-0.209434
206,-0.179515,-0.209434,-0.209434
207,-0.179515,-0.209434,-0.209434
208,-0.179515,-0.239354,-0.209434
209,-0.179515,-0.239354,-0.209434
210,-0.179515,-0.239354,-0.239354
211,-0.179515,-0.239354,-0.239354
212,-0.179515,-0.239354,-0.239354
213,-0.149596,-0.179515,-0.179515
214,-0.149596,-0.179515,-0.179515
215,-0.149596,-0.209434,-0.209434
216,-0.179515,-0.209434,-0.209434
217,-0.209434,-0.239354,-0.239354
218,-0.209434,-0.269273,-0.239354
219,-0.209434,-0.269273,-0.239354
220,-0.209434,-0.269273,-0.239354
221,-0.209434,-0.269273,-0.269273
222,-0.209434,-0.269273,-0.269273
223,-0.209434,-0.269273,-0.269273
224,-0.209434,-0.239354,-0.239354
225,-0.209434,-0.239354,-0.239354
226,-0.209434,-0.239354,-0.239354
227,-0.209434,-0.239354,-0.239354
228,-0.209434,-0.239354,-0.239354
229,-0.239354,-0.299192,-0.269273
230,-0.239354,-0.299192,-0.299192
231,-0.239354,-0.269273,-0.269273
232,-0.239354,-0.269273,-0.269273
233,-0.209434,-0.239354,-0.239354
234,-0.179515,-0.239354,-0.209434
235,-0.179515,-0.209434,-0.209434
236,-0.179515,-0.209434,-0.209434
237,-0.179515,-0.209434,-0.209434
238,-0.179515,-0.209434,-0.209434
239,-0.179515,-0.209434,-0.209434
240,-0.179515,-0.239354,-0.209434
241,-0.179515,-0.239354,-0.239354
242,-0.179515,-0.239354,-0.239354
243,-0.179515,-0.239354,-0.239354
244,-0.179515,-0.239354,-0.239354
245,-0.149596,-0.179515,-0.179515
246,-0.119677,-0.179515,-0.179515
247,-0.149596,-0.209434,-0.209434
248,-0.179515,-0.209434,-0.209434
249,-0.179515,-0.239354,-0.239354
250,-0.209434,-0.269273,-0.239354
251,-0.209434,-0.239354,-0.239354
252,-0.209434,-0.269273,-0.269273
253,-0.209434,-0.239354,-0.239354
254,-0.209434,-0.269273,-0.239354
255,-0.209434,-0.269273,-0.239354
256,-0.209434,-0.239354,-0.239354
257,-0.209434,-0.239354,-0.239354
258,-0.209434,-0.239354,-0.239354
259,-0.209434,-0.239354,-0.239354
260,-0.209434,-0.269273,-0.239354
261,-0.239354,-0.299192,-0.269273
262,-0.239354,-0.299192,-0.299192
263,-0.239354,-0.269273,-0.269273
264,-0.209434,-0.269273,-0.269273
265,-0.209434,-0.239354,-0.239354
266,-0.179515,-0.239354,-0.239354
267,-0.179515,-0.209434,-0.209434
268,-0.179515,-0.209434,-0.209434
269,-0.179515,-0.239354,-0.209434
270,-0.179515,-0.209434,-0.209434
271,-0.179515,-0.209434,-0.209434
272,-0.179515,-0.209434,-0.209434
273,-0.179515,-0.239354,-0.209434
274,-0.209434,-0.239354,-0.239354
275,-0.179515,-0.239354,-0.239354
276,-0.179515,-0.239354,-0.209434
277,-0.149596,-0.179515,-0.179515
278,-0.149596,-0.179515,-0.179515
279,-0.149596,-0.209434,-0.209434
280,-0.179515,-0.209434,-0.209434
281,-0.179515,-0.239354,-0.239354
282,-0.209434,-0.269273,-0.239354
283,-0.209434,-0.269273,-0.269273
284,-0.209434,-0.269273,-0.239354
285,-0.209434,-0.269273,-0.239354
286,-0.209434,-0.269273,-0.239354
287,-0.209434,-0.269273,-0.239354
288,-0.209434,-0.239354,-0.239354
289,-0.209434,-0.239354,-0.239354
290,-0.209434,-0.239354,-0.239354
291,-0.209434,-0.239354,-0.239354
292,-0.209434,-0.269273,-0.239354
293,-0.239354,-0.299192,-0.299192
294,-0.239354,-0.299192,-0.269273
295,-0.239354,-0.269273,-0.269273
296,-0.209434,-0.269273,-0.269273
297,-0.209434,-0.239354,-0.239354
298,-0.179515,-0.209434,-0.209434
