x_mm,z_mm,temperature_c
39.744,-37.179,26.0
42.308,-37.179,26.0
44.872,-37.179,26.0
47.436,-37.179,26.0
50.0,-37.179,26.0
-50.0,-34.615,26.042
-47.436,-34.615,26.043
-44.872,-34.615,26.044
-42.308,-34.615,26.045
-39.744,-34.615,26.047
-37.179,-34.615,26.049
-34.615,-34.615,26.05
-32.051,-34.615,26.051
-29.487,-34.615,26.051
-26.923,-34.615,26.05
-24.359,-34.615,26.049
-21.795,-34.615,26.047
-19.231,-34.615,26.045
-16.667,-34.615,26.042
-14.103,-34.615,26.04
-11.538,-34.615,26.037
-8.974,-34.615,26.034
-6.41,-34.615,26.031
-3.846,-34.615,26.028
-1.282,-34.615,26.025
1.282,-34.615,26.019
3.846,-34.615,26.017
6.41,-34.615,26.014
8.974,-34.615,26.012
11.538,-34.615,26.01
14.103,-34.615,26.008
16.667,-34.615,26.007
19.231,-34.615,26.005
21.795,-34.615,26.004
24.359,-34.615,26.003
26.923,-34.615,26.003
29.487,-34.615,26.002
32.051,-34.615,26.001
34.615,-34.615,26.001
37.179,-34.615,26.001
39.744,-34.615,26.0
42.308,-34.615,26.0
44.872,-34.615,26.0
47.436,-34.615,26.0
50.0,-34.615,26.0
-50.0,-32.051,26.083
-47.436,-32.051,26.084
-44.872,-32.051,26.087
-42.308,-32.051,26.09
-39.744,-32.051,26.094
-37.179,-32.051,26.098
-34.615,-32.051,26.102
-32.051,-32.051,26.104
-29.487,-32.051,26.105
-26.923,-32.051,26.104
-24.359,-32.051,26.103
-21.795,-32.051,26.1
-19.231,-32.051,26.096
-16.667,-32.051,26.092
-14.103,-32.051,26.087
-11.538,-32.051,26.082
-8.974,-32.051,26.076
-6.41,-32.051,26.07
-3.846,-32.051,26.064
-1.282,-32.051,26.059
1.282,-32.051,26.047
3.846,-32.051,26.042
6.41,-32.051,26.036
8.974,-32.051,26.032
11.538,-32.051,26.027
14.103,-32.051,26.023
16.667,-32.051,26.019
19.231,-32.051,26.015
21.795,-32.051,26.012
24.359,-32.051,26.01
26.923,-32.051,26.007
29.487,-32.051,26.006
32.051,-32.051,26.004
34.615,-32.051,26.003
37.179,-32.051,26.002
39.744,-32.051,26.001
42.308,-32.051,26.001
44.872,-32.051,26.001
47.436,-32.051,26.0
50.0,-32.051,26.0
-50.0,-29.487,26.157
-47.436,-29.487,26.159
-44.872,-29.487,26.164
-42.308,-29.487,26.172
-39.744,-29.487,26.181
-37.179,-29.487,26.19
-34.615,-29.487,26.197
-32.051,-29.487,26.203
-29.487,-29.487,26.207
-26.923,-29.487,26.208
-24.359,-29.487,26.206
-21.795,-29.487,26.203
-19.231,-29.487,26.198
-16.667,-29.487,26.191
-14.103,-29.487,26.184
-11.538,-29.487,26.175
-8.974,-29.487,26.166
-6.41,-29.487,26.156
-3.846,-29.487,26.145
-1.282,-29.487,26.134
1.282,-29.487,26.112
3.846,-29.487,26.101
6.41,-29.487,26.09
8.974,-29.487,26.08
11.538,-29.487,26.069
14.103,-29.487,26.059
16.667,-29.487,26.05
19.231,-29.487,26.042
21.795,-29.487,26.034
24.359,-29.487,26.027
26.923,-29.487,26.021
29.487,-29.487,26.016
32.051,-29.487,26.012
34.615,-29.487,26.009
37.179,-29.487,26.006
39.744,-29.487,26.004
42.308,-29.487,26.003
44.872,-29.487,26.002
47.436,-29.487,26.001
50.0,-29.487,26.001
-50.0,-26.923,26.285
-47.436,-26.923,26.289
-44.872,-26.923,26.299
-42.308,-26.923,26.314
-39.744,-26.923,26.332
-37.179,-26.923,26.351
-34.615,-26.923,26.368
-32.051,-26.923,26.381
-29.487,-26.923,26.391
-26.923,-26.923,26.397
-24.359,-26.923,26.399
-21.795,-26.923,26.397
-19.231,-26.923,26.392
-16.667,-26.923,26.384
-14.103,-26.923,26.374
-11.538,-26.923,26.362
-8.974,-26.923,26.348
-6.41,-26.923,26.333
