node_label,u1,u2,u3
2,-1.3132108449935913,-13.133347511291504,-6.515379547862446e-16
3,1.3132108449935913,-13.133347511291504,-3.4030247458123e-16
6,-1.3132108449935913,-13.133347511291504,-6.508720810105843e-16
7,1.3132108449935913,-13.133347511291504,-3.396365743357901e-16
