element,x,z,mises
1,-1.600000023841858,-0.6666664928197861,1028.009765625
2,-0.8000000268220901,-0.6666664928197861,1040.6378173828125
3,0.0,-0.6666664928197861,1059.548095703125
4,0.8000000268220901,-0.6666664928197861,1061.11181640625
5,1.600000023841858,-0.6666664928197861,1054.72900390625
6,-1.600000023841858,0.0,931.6416015625
7,-0.8000000268220901,0.0,1137.9180908203125
8,0.0,0.0,1053.7261962890625
9,0.8000000268220901,0.0,1049.751220703125
10,1.600000023841858,0.0,1058.5072021484375
11,-1.600000023841858,0.6666664928197861,1028.009765625
12,-0.8000000268220901,0.6666664928197861,1040.6378173828125
13,0.0,0.6666664928197861,1059.548095703125
14,0.8000000268220901,0.6666664928197861,1061.11181640625
15,1.600000023841858,0.6666664928197861,1054.72900390625
